sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample279,1.766,1.736,0.951,1.086,0.007,-0.216,-0.614,0.296,1.365,0.21,1.644,1.307,0.494,0.254,-1.534,1.493,-0.98,0.253,-0.515,-1.034,-1.633,-0.522,1.554,0.507,0.584,0.364,-0.868,-0.088,-1.926,-0.208,0.865,1.53,1.774,0.944,0.707,0.777,0.756,-0.181,0.863,0.111,2.293,1.037,1.375,0.241,1.593,1.52,-1.552,0.279,-0.818,0.065,-0.793,-0.236,-0.165,-0.191,0.374,0.825,-0.538,1.134,-0.144,1.037,-0.259,-0.877,-0.904,-0.565,-0.844,0.573,0.316,0.242,-0.292,-0.072,-0.308,0.456,0.596,0.263,-0.353
sample280,0.136,0.669,0.721,-0.964,0.607,0.201,1.325,0.838,-0.928,-0.02,-2.508,-0.427,0.154,1.28,-0.547,-0.885,-1.769,1.295,-1.565,3.011,0.261,1.755,-0.256,0.343,0.968,1.055,-0.409,-0.42,1.246,1.478,-0.9,-0.04,1.259,0.022,-1.937,0.478,1.849,1.046,-1.093,-0.283,0.235,-0.433,0.447,0.978,-1.166,0.378,-0.78,-0.638,-0.115,-1.264,0.041,0.76,-1.607,1.182,0.127,-0.241,0.479,0.829,1.625,-0.981,-1.016,0.816,0.28,0.016,0.622,1.547,0.304,0.348,-1.017,0.965,1.824,1.03,0.829,0.23,0.524
sample281,0.81,0.213,-0.22,0.096,0.01,0.665,0.441,-0.204,-0.37,-1.201,-0.244,-0.442,-0.907,-0.379,-0.105,-1.292,-2.131,0.78,0.173,-0.27,-0.335,-2.112,-0.417,0.398,-0.889,-0.979,-0.847,-1.521,-0.126,0.213,0.081,0.712,-0.692,-1.421,-0.239,0.042,0.434,-1.121,0.315,1.284,-0.218,2.752,0.326,-1.292,0.379,0.5,0.648,1.003,1.056,0.652,1.039,-1.372,0.785,0.151,-0.483,0.531,0.615,0.235,-0.007,-1.789,1.235,-0.559,0.936,0.769,0.438,1.571,-0.031,-0.968,-0.517,-0.081,0.114,-1.162,-0.122,0.68,1.68
sample282,-1.749,0.057,0.238,-1.538,0.54,0.254,-1.317,-1.164,-0.443,-0.219,0.321,0.458,1.489,-0.856,2.211,-2.312,0.004,-1.56,0.148,-0.843,0.804,-0.263,-0.301,0.399,-1.503,0.098,1.134,-0.408,0.97,0.855,1.351,1.086,2.719,1.308,1.04,0.22,0.122,-0.043,-0.585,-0.799,0.231,1.377,-0.334,-0.141,-0.374,0.858,-0.171,1.454,-1.214,-0.396,-0.645,0.887,1.273,0.124,0.524,-0.713,0.638,-0.347,-1.356,-1.172,-0.41,0.292,-1.005,0.258,1.64,-0.885,-0.209,-0.151,0.673,0.452,0.109,-0.433,1.242,1.395,-0.738
sample283,-0.814,-1.537,-1.422,0.622,-0.202,0.807,-1.42,0.488,0.015,-0.575,-0.646,0.478,-0.52,-0.269,0.508,-0.624,0.478,-0.732,-0.686,0.473,1.417,-0.966,-0.052,0.215,1.212,1.053,1.865,-2.616,-0.661,-0.25,0.518,1.347,-0.564,0.275,0.007,0.668,-0.623,0.224,-1.237,0.734,1.197,-0.602,-1.578,0.665,-1.145,-0.364,0.099,-0.051,0.271,0.676,-1.13,-1.344,-0.637,0.906,-0.859,0.295,-0.762,0.215,0.819,0.216,-1.126,-1.603,-1.542,0.203,0.861,1.221,-1.163,-0.961,-0.007,-0.29,1.626,-0.454,-1.35,0.768,-0.141
sample284,-0.321,-0.615,1.216,0.533,0.024,0.234,-0.304,-0.094,-0.168,1.06,-0.279,0.637,1.924,0.387,0.403,-0.726,0.374,-0.848,-0.353,1.524,-2.745,0.593,1.563,-1.664,-1.413,-0.231,-0.868,0.758,1.737,2.2,1.558,-0.134,-0.622,0.313,0.922,-1.827,-1.289,1.673,-0.159,-0.999,-0.98,-1.884,-0.409,0.876,0.034,-0.401,1.51,0.98,-0.848,-1.074,-1.262,-1.089,-0.033,-0.173,0.91,1.109,-0.211,-1.361,0.865,2.262,-0.07,0.018,-0.654,1.308,-0.929,0.35,0.656,-1.115,-1.605,0.439,0.061,-0.575,-0.878,0.216,-1.301
sample285,-0.085,-1.635,0.717,-0.161,-0.362,0.089,-1.067,0.516,0.146,-1.026,2.514,0.851,1.181,-1.358,-1.099,1.284,0.888,-0.032,0.285,-0.291,0.241,-1.846,0.931,-1.051,2.156,0.116,-1.03,0.3,1.472,0.668,-0.102,0.403,-1.356,-1.285,0.926,-2.378,1.798,-0.677,-0.478,0.092,0.705,-1.002,0.565,0.31,1.308,-0.295,-0.335,-0.116,2.18,-0.879,1.025,-0.866,-0.958,0.848,0.901,1.541,0.007,-1.757,0.422,-0.108,-1.012,-0.45,-0.267,-0.067,-0.399,-0.388,0.237,0.227,-2.015,0.698,-0.963,-0.419,0.41,-0.238,-0.134
sample286,-0.207,0.093,-0.378,0.17,-0.238,0.502,2.271,1.167,1.309,1.033,-1.125,-0.74,0.141,-1.185,1.197,1.022,0.589,0.313,2.469,0.149,2.071,0.819,0.244,-1.44,0.22,-0.512,0.785,-1.287,-0.167,-0.191,0.842,-1.36,-0.244,-0.031,-1.985,1.718,0.003,1.22,0.218,-0.163,0.755,0.893,-0.883,0.783,0.286,-0.368,-1.588,0.35,1.034,-0.144,-2.351,-3.26,0.226,-0.162,0.03,-1.224,-0.726,-1.336,-1.175,0.114,-0.142,-0.525,0.842,1.233,0.712,0.053,-1.016,-0.448,0.258,0.664,0.258,-0.798,-1.239,0.123,-1.079
sample287,-0.828,1.097,0.093,-2.859,1.105,-0.332,-0.943,0.452,0.797,0.128,1.152,1.859,-0.339,1.126,-0.555,-0.089,-1.008,0.574,-0.319,1.322,1.54,0.035,0.45,0.507,0.634,-1.646,0.337,0.896,-2.006,0.491,0.374,0.67,-0.703,-2.219,-0.618,-0.232,1.264,0.53,0.382,0.508,0.323,0.161,-0.175,-0.466,1.98,-0.884,0.649,0.336,-0.66,3.333,0.646,1.738,-0.468,-0.467,-0.521,-0.871,-0.721,-0.464,-0.721,1.376,0.119,-1.737,0.537,-1.387,-0.571,1.094,1.803,-0.376,-1.577,0.314,0.013,-0.362,0.195,2.43,-0.615
sample288,-1.51,1.472,-0.416,0.838,1.102,-0.496,0.55,-1.719,-0.528,-2.561,-0.732,-0.783,-1.339,0.038,0.255,-0.465,1.08,-0.576,-1.322,0.322,0.357,-0.485,-1.065,-0.856,-0.522,-0.424,-1.816,-0.358,-0.41,-1.778,0.528,1.689,0.285,-0.188,-0.277,0.997,-2.285,1.544,-0.227,1.262,-0.728,-0.852,0.484,1.131,0.843,0.093,1.845,0.456,-0.172,-1.101,-0.48,0.497,-1.57,0.589,1.809,0.478,0.871,-0.91,-1.073,0.283,-0.964,1.312,-2.511,-0.758,-0.339,0.232,-1.041,0.125,1.326,-1.093,-1.483,0.585,-0.24,1.249,-1.421
sample289,-1.656,-0.179,-0.603,-2.032,0.594,-1.497,2.298,-0.647,1.06,0.245,-0.494,0.348,0.454,-0.705,-0.422,2.07,-1.474,-0.668,-0.196,1.096,-0.173,1.131,1.036,-0.584,0.512,0.414,0.311,-1.404,0.427,-1.299,-0.576,-0.344,-0.803,1.429,0.665,0.683,0.775,0.444,0.728,-1.065,1.569,-0.839,-1.0,0.144,1.334,0.579,0.715,-0.607,-0.597,-1.148,0.163,-0.482,0.596,-0.285,0.28,0.017,0.988,-0.075,-0.6,-0.521,-0.632,-1.146,0.573,-0.761,-0.777,1.219,-0.589,-1.073,-0.654,0.873,-0.179,-0.372,0.682,0.4,-0.204
sample290,-0.5,0.677,-1.736,-0.349,0.361,0.52,-0.441,-0.612,-0.333,0.381,2.68,-0.093,0.965,-0.136,0.215,0.728,-0.187,0.954,-0.476,-1.498,2.749,0.665,-0.018,-1.142,-0.647,-1.769,0.206,0.834,-1.659,1.11,-0.665,-1.699,0.636,-0.213,1.379,1.5,-0.202,0.936,1.209,-1.356,1.654,0.567,0.968,1.028,-0.206,-0.508,-0.065,-0.064,-0.52,-0.172,-0.145,-0.14,-1.343,0.777,0.566,-0.317,-0.086,1.131,-1.14,-1.215,-0.342,-0.421,0.123,-0.514,0.317,0.789,2.611,0.122,-2.603,-1.254,-0.067,-0.744,1.578,0.652,2.332
sample291,0.544,0.681,0.253,-1.598,-1.598,1.367,0.391,-0.966,-0.01,0.645,-0.317,-0.631,-0.441,0.803,-0.022,1.51,-1.784,0.951,-0.93,-0.099,1.679,-0.576,-2.284,1.438,-0.96,2.069,0.201,-1.201,-1.16,-1.217,-0.998,1.149,0.274,0.274,0.449,0.962,0.552,-0.099,-1.263,-1.063,1.052,1.149,-0.968,-0.43,1.128,-0.78,0.334,-0.795,-0.951,-0.522,-1.072,-0.966,-1.048,1.277,0.683,-0.06,0.531,2.321,-1.201,-0.608,-0.513,0.176,-0.253,2.933,0.052,-0.632,-0.24,-0.223,-0.045,0.94,-0.962,-0.566,0.055,0.422,-0.825
sample292,0.081,0.776,1.124,-0.483,0.649,-1.432,0.364,0.679,1.359,-0.752,-0.48,2.609,-0.922,0.179,0.141,0.052,-0.379,-1.048,-0.285,0.308,0.464,0.831,2.142,1.87,0.099,-1.072,0.452,-0.603,0.454,-0.903,0.335,1.195,-0.628,1.702,1.649,1.243,-0.491,0.145,-0.583,0.712,0.866,0.906,-1.466,-0.496,-2.315,-0.437,0.605,-1.415,-2.188,-0.583,-0.383,1.288,0.749,-1.26,-0.916,0.537,0.035,-0.194,0.298,1.154,-1.115,0.727,-1.097,-1.15,-0.996,0.167,2.421,0.327,0.403,1.019,0.045,-0.194,0.467,0.49,0.8
sample293,-0.531,0.227,-1.171,-0.33,-1.017,0.183,-1.698,0.951,-0.908,-1.601,-1.341,-1.054,-0.157,1.844,-0.356,0.432,1.4,-0.816,-0.828,2.663,1.086,2.145,-2.033,-0.344,0.449,-0.375,-0.472,0.925,-0.171,1.028,0.813,-1.87,0.391,0.275,1.33,-2.395,-0.356,-1.544,0.282,-0.893,1.349,0.599,1.255,0.199,-0.337,1.929,-1.298,0.891,-0.2,1.054,1.533,0.202,1.332,-0.808,0.682,0.376,0.397,0.683,-0.709,-1.235,-0.493,0.737,-1.502,1.417,1.101,0.691,-1.162,0.788,-0.08,-0.79,-0.154,1.706,-0.191,-0.579,-0.924
sample294,1.268,-0.109,-0.156,-1.61,0.711,-1.198,0.13,0.969,-0.118,1.344,0.135,-0.276,-0.151,0.526,0.334,1.556,0.235,-0.349,-1.762,-0.451,-0.752,-0.184,0.212,-0.707,0.858,-0.862,-2.182,1.259,-1.131,1.707,0.987,0.944,0.015,-0.148,0.259,0.927,-0.601,-2.36,-0.453,-0.632,-0.23,-0.174,0.6,1.366,0.071,0.127,-1.372,0.017,0.322,2.249,0.133,-0.197,-0.744,0.18,-0.331,-0.371,-0.054,2.167,0.677,-0.191,0.449,-0.704,0.296,-0.927,0.514,-2.858,-1.937,-0.806,-2.808,-0.96,-0.387,2.458,0.097,-1.254,1.165
sample295,1.26,0.109,-1.934,-1.53,-0.869,-1.119,0.432,-0.291,-1.947,-1.657,-0.764,-0.807,0.747,-0.642,-1.071,-1.798,-1.473,-1.22,0.136,0.138,-0.285,0.108,-0.504,1.075,0.619,-0.446,1.703,1.008,-0.406,-0.26,0.072,0.545,-1.26,0.342,-1.54,0.635,-0.052,-0.062,-1.664,-0.931,-0.671,-1.665,-1.41,1.033,-0.457,0.768,0.748,1.318,-0.182,0.425,0.711,-1.027,-0.488,-0.078,1.493,0.254,-0.662,-0.827,1.345,1.665,-1.096,-0.854,-0.817,0.973,0.199,-0.978,0.119,-0.434,1.67,0.419,-0.452,-2.258,0.185,-0.944,-0.307
sample296,-0.114,0.465,-0.273,0.697,-0.824,1.076,-0.119,-0.731,-0.737,2.321,-0.057,-0.281,-0.48,-0.359,-1.492,1.433,-0.413,-0.233,1.95,-1.892,0.414,1.392,-0.632,-1.266,0.395,1.411,1.778,1.168,0.869,-0.718,-0.743,2.113,1.475,-2.157,0.526,-0.731,-2.651,0.375,0.325,-0.98,-1.769,-0.26,1.026,0.288,1.186,-0.767,0.875,-1.806,2.178,-1.395,0.422,0.0,-1.859,1.379,-0.643,0.033,-0.775,0.498,-0.684,0.258,0.651,0.107,0.247,0.683,0.081,-0.508,0.749,-0.146,-0.97,-0.422,-1.225,0.478,1.36,-0.019,0.572
sample297,-1.002,0.844,0.649,-0.525,1.693,-0.177,0.015,0.631,-0.447,-0.855,0.126,0.578,-1.566,0.643,0.521,0.776,0.276,-0.627,0.158,-0.047,0.616,-1.538,0.807,-0.035,0.538,1.221,-1.106,0.395,3.433,-0.735,-0.212,-0.649,-0.755,-1.333,0.539,-0.799,0.654,1.084,-0.886,-1.297,-1.467,-1.637,-0.017,0.915,-1.158,0.451,1.036,0.493,-1.111,-0.589,1.624,0.946,-0.308,0.29,1.401,-2.232,-1.099,0.619,1.99,-0.74,0.954,0.102,0.099,0.324,-0.337,1.362,1.024,-0.79,1.415,-0.452,0.186,0.302,1.529,-1.265,-0.384
sample298,0.014,-0.054,0.655,0.572,-0.461,0.151,0.357,0.382,-1.912,-0.806,0.407,0.294,-0.329,-0.145,0.163,0.3,0.285,-0.719,1.281,-0.508,-0.615,0.488,-0.283,0.079,-0.304,-1.211,-1.177,1.667,0.393,0.602,-0.83,1.008,-0.129,0.578,0.457,-0.041,0.427,-0.249,-2.025,-0.861,0.832,-0.949,1.821,-0.304,0.852,-0.068,0.873,-0.19,0.159,1.212,0.289,1.411,-0.478,-1.663,-0.046,0.492,0.204,1.589,-0.192,-0.906,-1.102,0.07,-0.477,0.91,0.777,-0.622,0.197,-0.676,0.001,0.256,2.217,-0.901,-2.037,-1.549,0.541
sample299,0.41,-0.483,-0.425,0.605,1.031,-0.599,0.614,-0.329,1.038,-0.973,0.967,0.646,-0.974,1.245,-0.424,0.54,0.525,0.87,0.392,-0.394,-0.121,0.078,-0.713,-0.867,1.431,0.835,0.329,0.566,-0.819,-0.222,-1.528,0.883,1.327,-0.271,1.943,0.067,-1.542,-0.108,-0.526,2.624,-1.069,-0.016,-0.553,-0.451,-1.428,-0.515,-1.781,-0.459,-1.056,-0.047,0.37,1.176,0.147,-0.396,-0.363,-1.48,-0.394,-0.903,0.02,0.244,-0.297,0.299,1.63,0.041,0.622,0.32,0.105,0.6,-1.233,1.163,-0.095,-0.224,-0.287,-0.136,0.727
sample300,0.874,0.936,0.532,-0.819,1.669,-0.555,-0.144,-0.213,-2.485,0.572,0.031,-0.247,0.627,0.577,-0.628,0.057,1.157,-1.044,-0.522,2.28,0.554,1.306,-0.274,1.536,-0.845,0.264,-1.388,0.202,-0.751,-0.026,1.375,0.014,-0.265,1.377,0.05,-1.909,-0.52,-0.962,0.956,-1.637,-0.377,-0.187,0.755,-0.211,0.021,-0.078,0.456,0.69,0.703,1.223,-1.726,0.633,-0.335,-0.652,0.308,-0.67,-1.074,0.115,0.643,-0.068,0.847,0.235,0.419,0.733,-0.169,0.66,-1.278,-1.133,0.788,0.264,-0.772,-1.053,1.936,-0.34,0.031
